Ticker,Description,Sector
ADS.DE,Adidas,Apparel
AIR.DE,Airbus,Aerospace & Defence
ALV.DE,Allianz,Financial Services
BAS.DE,BASF,Chemicals
BAYN.DE,Bayer,Pharmaceuticals
BEI.DE,Beiersdorf,Consumer goods
BMW.DE,BMW,Automotive
BNR.DE,Brenntag,Distribution
CBK.DE,Commerzbank,Financial Services
CON.DE,Continental,Automotive
1COV.DE,Covestro,Chemicals
DTG.DE,Daimler Truck,Automotive
DBK.DE,Deutsche Bank,Financial Services
DB1.DE,Deutsche Börse,Financial Services
DHL.DE,Deutsche Post,Logistics
DTE.DE,Deutsche Telekom,Telecommunication
EOAN.DE,E.ON,Utilities
FRE.DE,Fresenius,Healthcare
HNR1.DE,Hannover Re,Insurance
HEI.DE,Heidelberg Materials,Construction Materials
HEN3.DE,Henkel,Consumer Goods
IFX.DE,Infineon Technologies,Technology
MBG.DE,Mercedes-Benz Group,Automotive
MRK.DE,Merck,Pharmaceuticals
MTX.DE,MTU Aero Engines,Aerospace & Defence
MUV2.DE,Munich Re,Financial Services
P911.DE,Porsche,Automotive
PAH3.DE,Porsche SE,Automotive
QIA.DE,Qiagen,Biotech
RHM.DE,Rheinmetall,Aerospace & Defence
RWE.DE,RWE,Utilities
SAP.DE,SAP,Technology
SRT3.DE,Sartorius,Medical Technology
SIE.DE,Siemens,Industrials
ENR.DE,Siemens Energy,Energy technology
SHL.DE,Siemens Healthineers,Medical Equipment
SY1.DE,Symrise,Chemicals
VOW3.DE,Volkswagen Group,Automotive
VNA.DE,Vonovia,Real Estate
ZAL.DE,Zalando,E-Commerce
